"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|CP002684.1_cds_AEE30729.1_4867",734.787885171219,0.0756392230544011,0.0999178783554759,468.735897630283,4.54742540293673e-98,6.81962229593745e-95
"lcl|CP002688.1_cds_AED93446.1_41525",9026.19203245673,-0.341400927373487,0.0781859428324455,455.383223684194,3.40618459473619e-95,4.83929194475308e-92
"lcl|CP002684.1_cds_AEE30625.1_4720",2757.91213116437,-0.242340272797999,0.148074622696847,445.410481305711,4.77170836209543e-93,6.4403747763202e-90
"lcl|CP002687.1_cds_AEE83819.1_32542",125.285433288546,0.903536870202353,0.1298507854418,434.143718011627,1.26784991429073e-90,1.55934258302015e-87
"lcl|CP002684.1_cds_ANM60410.1_1788",550.592025691131,-0.320315305012683,0.092602142874987,434.138934822937,1.27085785087216e-90,1.55934258302015e-87
"lcl|CP002687.1_cds_AEE85164.1_34438",503.119392924738,-0.339714495607412,0.154980573592415,419.024744357617,2.26708564435593e-87,2.66076999494539e-84
"lcl|CP002688.1_cds_AED91630.1_39019",954.204903845318,0.151163095199268,0.11496594586003,411.346853019303,1.01558258286056e-85,1.14227651007242e-82
"lcl|CP002685.1_cds_AEC06808.1_14585",2118.56191837889,-0.480568290666076,0.0957999875006328,402.489256063132,8.15273159669301e-84,8.80299346884524e-81
"lcl|CP002686.1_cds_AEE75904.1_23440",945.221995207503,0.568256879303834,0.076954959986832,392.142289357389,1.366504513899e-81,1.41874703262267e-78
"lcl|CP002687.1_cds_AEE85761.1_35245",86.380615435988,-0.391461838457425,0.185050773811799,386.161760728716,2.63624723762629e-80,2.63566140490681e-77
"lcl|CP002688.1_cds_AED90909.1_38014",3050.08208516156,0.158284935628208,0.0940019184577238,374.905162473401,6.9145634145523e-78,6.66613302901518e-75
"lcl|CP002687.1_cds_ANM68095.1_32584",1473.13571988949,-0.317161854335576,0.122289035168001,363.686700864529,1.77655097192978e-75,1.65366265297492e-72
"lcl|CP002685.1_cds_AEC09773.1_18640",327.724523229873,-1.50461958544557,0.499071469064897,360.697060951705,7.79183390062152e-75,7.01109214377924e-72
"lcl|CP002685.1_cds_AEC09626.1_18431",9508.91850013462,0.097913360918942,0.0826413838181418,360.554224396191,8.36207632472891e-75,7.28148026805588e-72
"lcl|CP002688.1_cds_AED90709.1_37742",188.447975739052,0.022709905492209,0.232180555800153,359.847053485765,1.18625630164003e-74,1.00068133145222e-71
"lcl|CP002684.1_cds_AEE36140.1_12147",533.760540737198,0.439449785494183,0.13285906155113,357.203440039371,4.38392371013333e-74,3.58604959488906e-71
"lcl|CP002684.1_cds_AEE30902.1_5100",594.752336329479,-0.968925552561009,0.138477916862456,355.074007473716,1.25631647885474e-73,9.97441383241322e-71
"lcl|CP002688.1_cds_AED91677.1_39093",4730.26987666298,0.371746922824887,0.0993075914434699,353.832021399173,2.32148873793502e-73,1.7904647711948e-70
"lcl|CP002688.1_cds_AED95537.1_44324",450.828085056444,-0.140085294282176,0.128258692894135,345.027501838811,1.80252853606854e-71,1.35159598062873e-68
"lcl|CP002688.1_cds_AED92180.1_39800",749.633052688382,0.210891205504596,0.0847501466128072,341.070388525896,1.27408206565124e-70,9.29528953518635e-68
"lcl|CP002686.1_cds_AEE75789.1_23279",10939.3588842417,0.359687961900101,0.156723975108407,337.553961310099,7.24154630030854e-70,5.14416581132971e-67
"lcl|CP002685.1_cds_AEC10051.1_19033",452.508179533529,0.175726669026989,0.139312344240518,335.479153780701,2.01858261329659e-69,1.39716971957252e-66
"lcl|CP002686.1_cds_AEE73674.1_20365",657.734958712048,-0.0774423954972028,0.10730604765201,335.411272162147,2.08743092044183e-69,1.40870275666017e-66
"lcl|CP002685.1_cds_AEC07424.1_15410",980.335922925883,0.326920648732714,0.17139976857737,326.533454444309,1.67589419600209e-67,1.1033923884605e-64
"lcl|CP002684.1_cds_AEE34983.1_10609",3257.793354723,1.31625115266006,0.0767156915955464,325.513497375609,2.7734910301597e-67,1.78256230638407e-64
"lcl|CP002685.1_cds_AEC09904.1_18827",1524.75566668269,-0.40898818515712,0.0972123732676341,324.851353266869,3.84637627417083e-67,2.41462979406901e-64
"lcl|CP002685.1_cds_AEC08185.1_16484",980.749463604283,-0.0432207793655385,0.0637896230931115,323.430688887959,7.7582129451487e-67,4.75966364184873e-64
"lcl|CP002686.1_cds_AEE74947.1_22134",2059.42268370035,0.260860175265458,0.130879773374298,322.255772587524,1.38595799983454e-66,8.31390005500747e-64
"lcl|CP002684.1_cds_AEE35247.1_10946",1993.09160561497,-0.382257177304405,0.108635336946209,320.265750490221,3.70280595969327e-66,2.17290313208609e-63
"lcl|CP002686.1_cds_AEE78704.1_27292",502.38367792747,-0.00681706963071129,0.161138901072032,319.375769472697,5.74626861361484e-66,3.30031436076423e-63
"lcl|CP002686.1_cds_AEE75032.1_22249",1467.61682008748,0.384931149670647,0.150614031270884,319.270823864557,6.05188823272118e-66,3.40343064487657e-63
"lcl|CP002686.1_cds_ANM64712.1_24544",2010.01942663954,0.258024545812328,0.118385769510293,316.88406599125,1.96649163155521e-65,1.08333622657554e-62
"lcl|CP002684.1_cds_ANM58151.1_1357",685.873174277622,-0.612012935748371,0.0944212683684287,313.512532117424,1.03891337713622e-64,5.60888554048303e-62
"lcl|CP002684.1_cds_AEE28391.1_1692",7720.10109897416,-0.76863513216449,0.145826733093803,307.206955530767,2.33498393542772e-63,1.23589326182227e-60
"lcl|CP002684.1_cds_AEE34847.1_10434",1679.94025959876,-0.464571312520401,0.17809133781623,306.917041978237,2.69415814566169e-63,1.39857894199984e-60
"lcl|CP002684.1_cds_ANM57978.1_10027",508.302759806801,-0.775804035528133,0.0931250048341925,305.662673770912,5.00347476592536e-63,2.54837354398847e-60
